"DATE","SCORE","RATING","SLOPE"
"05/08/15","95","70.3","116"
"05/09/15","97","69.5","126"
"05/30/15","93","66.9","111"
"06/27/15","97","69.5","126"
"07/03/15","94","67.3","122"
"08/02/15","88","67.3","120"
"08/15/15","98","68.4","117"
"08/29/15","100","68.5","118"
"06/07/16","93","69.8","127"
"06/21/16","93","68.1","121"
"06/29/16","96","69.8","127"
"07/06/15","102","69.8","121"
"08/02/16","85","67.3","120"
"08/10/15","91","69.8","127"
"08/17/15","96","69.8","127"
"09/07/16","95","69.8","127"
"09/20/16","97","69.6","120"
"06/08/15","91","70.3","116"
"06/09/16","98","69.5","126"
"05/30/15","95","66.9","111"
"07/27/15","97","69.5","126"
"07/03/15","94","67.3","122"
"09/02/15","88","67.3","120"
"04/15/16","98","68.4","117"
"05/29/16","90","68.5","118"
